Region,AgeClass,n,DBH_rec,HT_rec
Auckland,0-10,41,Weibull (30/41),Weibull (27/41)
Auckland,11-20,72,Weibull (33/72),Weibull (42/72)
Auckland,21-30,64,Weibull (36/64),Weibull (41/64)
Auckland,31+,56,Weibull (27/56),Weibull (25/56)
Bay of Plenty,0-10,6,Weibull (3/6),Weibull (4/6)
Bay of Plenty,11-20,20,Gamma (15/20),Lognormal (8/20)
Bay of Plenty,21-30,12,Weibull (7/12),Weibull (5/12)
Canterbury,0-10,28,Weibull (13/28),Gamma (14/28)
Canterbury,11-20,56,Weibull (25/56),Gamma (25/56)
Canterbury,21-30,58,Weibull (31/58),Weibull (25/58)
Canterbury,31+,26,Weibull (13/26),Weibull (19/26)
Gisborne,0-10,7,Lognormal (4/7),Weibull (4/7)
Gisborne,11-20,13,Lognormal (6/13),Weibull (5/13)
Marlborough,0-10,5,Weibull (4/5),Gamma (3/5)
Nelson,0-10,54,Weibull (29/54),Weibull (32/54)
Nelson,11-20,79,Weibull (56/79),Weibull (56/79)
Nelson,21-30,79,Weibull (59/79),Weibull (53/79)
Nelson,31+,45,Weibull (20/45),Weibull (18/45)
SN Island,0-10,3,Gamma (2/3),Weibull (2/3)
Southland,0-10,41,Weibull (22/41),Weibull (18/41)
Southland,11-20,71,Weibull (36/71),Weibull (34/71)
Southland,21-30,73,Weibull (45/73),Weibull (41/73)
Southland,31+,52,Weibull (31/52),Weibull (31/52)
Taupo,0-10,57,Weibull (42/57),Gamma (31/57)
Taupo,11-20,64,Weibull (37/64),Weibull (48/64)
Taupo,21-30,58,Gamma (28/58),Weibull (49/58)
Taupo,31+,35,Weibull (26/35),Weibull (28/35)
Waikato,0-10,4,Weibull (3/4),Weibull (3/4)
Waikato,11-20,5,Weibull (4/5),Weibull (5/5)
West Coast,0-10,56,Weibull (42/56),Weibull (37/56)
West Coast,11-20,60,Weibull (31/60),Weibull (32/60)
West Coast,21-30,56,Weibull (29/56),Weibull (26/56)
West Coast,31+,22,Weibull (11/22),Gamma (10/22)
